id,date,discount,manufacturer_id,product,product_id,quantity,store_id,total_value,value
205,2019-06-03,0.0,28931,BATATA MC CAIN TRADICIONAL 2 KG,185322,1.0,3_8,17.98,17.98
206,2019-06-03,0.0,925,BATATA MC CAIN PREFRITA CONG PCT 720 G,5714,1.0,3_13,9.49,9.49
207,2019-06-03,0.0,28931,BATATA MC CAIN CONGELADO SMILES PCT 500 G,229244,1.0,3_13,9.09,9.09
208,2019-06-03,0.0,28931,BATATA MC CAIN CONGELADO SMILES PCT 500 G,229244,1.0,3_13,9.09,9.09
209,2019-06-03,1.91,57286,LINGUICA ALEGRA SUINA KG,226608,1906,3_8,19.02,10.98
210,2019-06-03,0.7,57286,LINGUICA ALEGRA SUINA KG,226608,0.70400000000000007,3_8,7.03,10.98
211,2019-06-03,0.79,57286,LINGUICA ALEGRA SUINA KG,226608,0.78599999999999992,3_8,7.8400000000000007,10.98
212,2019-06-03,1.32,57286,LINGUICA ALEGRA SUINA KG,226608,1.32,3_8,13.17,10.98
213,2019-06-03,0.69,57286,LINGUICA ALEGRA SUINA KG,226608,696,3_8,6.9499999999999993,10.98
214,2019-06-03,0.79,57286,LINGUICA ALEGRA SUINA KG,226608,0.78599999999999992,3_8,7.8400000000000007,10.98
215,2019-06-03,0.7,57286,LINGUICA ALEGRA SUINA KG,226608,708,3_8,7.0699999999999994,10.98
216,2019-06-03,0.67,57286,LINGUICA ALEGRA SUINA KG,226608,0.67599999999999993,3_8,6.75,10.98
217,2019-06-03,0.78,57286,LINGUICA ALEGRA SUINA KG,226608,774,3_8,7.72,10.98
218,2019-06-03,1.46,57286,LINGUICA ALEGRA SUINA KG,226608,1462,3_8,14.59,10.98
219,2019-06-03,0.78,57286,LINGUICA ALEGRA SUINA KG,226608,778,3_8,7.7599999999999989,10.98
220,2019-06-03,1.18,57286,LINGUICA ALEGRA SUINA KG,226608,1188,3_13,11.86,10.98
221,2019-06-03,0.71,57286,LINGUICA ALEGRA SUINA KG,226608,0.71400000000000008,3_8,7.13,10.98
222,2019-06-03,0.0,57286,LINGUICA ALEGRA SUINA KG,226608,996,3_8,10.94,10.98
223,2019-06-03,1.57,57286,LINGUICA ALEGRA SUINA KG,226608,1.5699999999999998,3_8,15.67,10.98
224,2019-06-03,1.49,57286,LINGUICA ALEGRA SUINA KG,226608,1.4939999999999998,3_8,14.91,10.98
225,2019-06-03,0.68,57286,LINGUICA ALEGRA SUINA KG,226608,682,3_8,6.8100000000000005,10.98
226,2019-06-03,2.15,57286,LINGUICA ALEGRA SUINA KG,226608,2158,3_8,21.540000000000003,10.98
227,2019-06-03,0.71,57286,LINGUICA ALEGRA SUINA KG,226608,0.71400000000000008,3_8,7.13,10.98
228,2019-06-03,0.0,44010,LINGUICA MACHULEK TOSCANA KG,229391,826,3_8,10.73,12.99
229,2019-06-03,0.0,44010,LINGUICA MACHULEK TOSCANA KG,229391,0.33,3_13,4.29,12.99
230,2019-06-03,0.0,44010,LINGUICA MACHULEK TOSCANA KG,229391,654,3_8,8.5,12.99
231,2019-06-03,0.0,10017,LINGUICA NUZDA FRESCA FINA KG,131858,344,3_8,7.56,21.99
232,2019-06-03,0.0,11003,LINGUICA SEARA TOSCANA RESF KG,252298,0.43799999999999994,3_13,4.81,10.98
233,2019-06-03,0.0,11003,LINGUICA SEARA TOSCANA RESF KG,252298,1336,3_13,14.67,10.98
234,2019-06-03,0.0,11003,LINGUICA SEARA TOSCANA RESF KG,252298,0.44,3_13,4.83,10.98
235,2019-06-03,0.0,11003,LINGUICA SEARA TOSCANA RESF KG,252298,1.1740000000000002,3_13,12.89,10.98
236,2019-06-03,0.0,12100,LINGUICA FRIMESA TOSCANA PLANA 1 KG,170773,1.0,3_13,17.09,17.09
237,2019-06-03,0.0,12100,LINGUICA FRIMESA TOSCANA PLANA 1 KG,170773,1.0,3_13,17.09,17.09
238,2019-06-03,0.0,9827,LINGUICA PORCA CHIC FRESCA TOSCANA KG,30479,696,3_8,9.73,13.98
239,2019-06-03,0.0,9827,LINGUICA PORCA CHIC FRESCA TOSCANA KG,30479,0.69400000000000006,3_8,9.7,13.98
240,2019-06-03,0.0,9827,LINGUICA PORCA CHIC FRESCA TOSCANA KG,30479,598,3_8,8.36,13.98
241,2019-06-03,0.0,9827,LINGUICA PORCA CHIC FRESCA TOSCANA KG,30479,664,3_8,9.28,13.98
242,2019-06-03,0.0,9827,LINGUICA PORCA CHIC FRESCA TOSCANA KG,30479,718,3_8,10.04,13.98
